CODIGO FAC;Nombre del producto;Dias SAL;Unidades/Box
5227;JAMON SERRANO V PATA 8,5-10,5;8;24
5227;JAMON SERRANO V PATA 10,5-12;9;24
5227;JAMON SERRANO V PATA 12-13;10;24
5227;JAMON SERRANO V PATA 13-14;11;24
5227;JAMON SERRANO V PATA 14-16;12;12
5227;JAMON SERRANO V PATA 16-18;14;12
5327;JAMON SERRANO V S/PATA 10-12;9;24
5327;JAMON SERRANO V S/PATA 12-13;10;24
5327;JAMON SERRANO V S/PATA 13-14;11;24
5327;JAMON SERRANO V S/PATA 14-16;12;12
5327;JAMON SERRANO V S/PATA 16-18;14;12
5527;JAMON SERRANO C/P S/PATA 10-12;9;24
5527;JAMON SERRANO C/P S/PATA 12-13;10;24
5527;JAMON SERRANO C/P S/PATA 13-14;11;24
5527;JAMON SERRANO C/P S/PATA 14-16;12;12
5527;JAMON SERRANO C/P S/PATA 16-18;14;12
17127;JAMON DUROC 9,5-10,5;9;24
17127;JAMON DUROC 10,5-12;10;24
17127;JAMON DUROC 12-13;11;24
17127;JAMON DUROC 13-14;12;24
17127;JAMON DUROC 14-15,5;13;12
17127;JAMON DUROC 15,5-17;14;12
17227;JAMON DUROC SIN PATA 9,5-10,5;9;24
17227;JAMON DUROC SIN PATA 10,5-12;10;24
17227;JAMON DUROC SIN PATA 12-13;11;24
17227;JAMON DUROC SIN PATA 13-14;12;24
17227;JAMON DUROC SIN PATA 14-15,5;13;12
17227;JAMON DUROC SIN PATA 15,5-17;14;12
60427;PALETA CEBO IBERICO 5-6,2;4;24
60427;PALETA CEBO IBERICO 6,2-7;5;24
60427;PALETA CEBO IBERICO 7-8;6;24
60427;PALETA CEBO IBERICO 8-10,50;7;24
61127;JAMON GENETICA DURIBER 8-10,5;9;24
61127;JAMON GENETICA DURIBER 10,5-12;10;24
61127;JAMON GENETICA DURIBER 12-13;11;24
61127;JAMON GENETICA DURIBER 13-14;12;24
61127;JAMON GENETICA DURIBER 14-15,5;13;12
61127;JAMON GENETICA DURIBER  15,5-17;14;12
60727;JAMON CEBO IBERICO 8-10,5;9;24
60727;JAMON CEBO IBERICO 10,5-12;10;24
60727;JAMON CEBO IBERICO 12-13;11;24
60727;JAMON CEBO IBERICO 13-14;12;24
60727;JAMON CEBO IBERICO 14-15,5;13;12
60727;JAMON CEBO IBERICO 15,5-17;14;12
60927;JAMON IBERICO BELLOTA 100% 8-10,5;9;24
60927;JAMON IBERICO BELLOTA 100% 10,5-12;10;24
60927;JAMON IBERICO BELLOTA 100% 12-13;11;24
60927;JAMON IBERICO BELLOTA 100% 13-14;12;24
60927;JAMON IBERICO BELLOTA 100% 14-15,5;13;12
60927;JAMON IBERICO BELLOTA 100% 15,5-17;14;12
61027;JAMON IBERICO BELLOTA 50% 8-10,5;9;24
61027;JAMON IBERICO BELLOTA 50% 10,5-12;10;24
61027;JAMON IBERICO BELLOTA 50% 12-13;11;24
61027;JAMON IBERICO BELLOTA 50% 13-14;12;24
61027;JAMON IBERICO BELLOTA 50% 14-15,5;13;12
61027;JAMON IBERICO BELLOTA 50% 15,5-17;14;12
61227;PALETA IBERICA BELLOTA 100% <7;5;24
61227;PALETA IBERICA BELLOTA 100% 7-8;6;24
61227;PALETA IBERICA BELLOTA 100% 8-10,50;7;24
61327;PALETA IBERICA BELLOTA 50% <7;5;24
61327;PALETA IBERICA BELLOTA 50% 7-8;6;24
61327;PALETA IBERICA BELLOTA 50% 8-9;7;24
61327;PALETA IBERICA BELLOTA 50% 9-10;8;24
61327;PALETA IBERICA BELLOTA 50% +10;9;24
61427;PALETA CEBO 100% IBERICO <8;6;24
61427;PALETA CEBO 100% IBERICO 8-9;7;24
61427;PALETA CEBO 100% IBERICO 9-10;8;24
61427;PALETA CEBO 100% IBERICO 10-11;9;24
61427;PALETA CEBO 100% IBERICO 11-13;10;24
61427;PALETA CEBO 100% IBERICO >13;11;24
60827;JAMON CEBO 100% IBERICO <13;11;24
60827;JAMON CEBO 100% IBERICO 13-14;12;24
60827;JAMON CEBO 100% IBERICO 14-15,5;13;24
60827;JAMON CEBO 100% IBERICO 15,5-17;14;12
60827;JAMON CEBO 100% IBERICO 17-19;15;12
60827;JAMON CEBO 100% IBERICO +19;16;12
73127;PALETA GENETICA DURIBER 4-5;3;24
73127;PALETA GENETICA DURIBER 5-6;4;24
73127;PALETA GENETICA DURIBER 6-7;5;24
73127;PALETA GENETICA DURIBER 7-8;6;24
73127;PALETA GENETICA DURIBER +8;7;24
5528;JAMON SERRANO C/P S/PATA 10-12 W;9;24
5528;JAMON SERRANO C/P S/PATA 12-13 W;10;24
5528;JAMON SERRANO C/P S/PATA 13-14 W;11;24
5528;JAMON SERRANO C/P S/PATA 14-16 W;12;12
5528;JAMON SERRANO C/P S/PATA 16-18 W;14;12
5628;JAMON SERRANO V PATA 10,5-12 W;9;24
5628;JAMON SERRANO V PATA 12-13 W;10;24
5628;JAMON SERRANO V PATA 13-14 W;11;24
5628;JAMON SERRANO V PATA 14-16 W;12;12
5628;JAMON SERRANO V PATA 16-18 W;14;12
5728;JAMON SERRANO V S/PATA 10,5-12 W;9;24
5728;JAMON SERRANO V S/PATA 12-13 W;10;24
5728;JAMON SERRANO V S/PATA 13-14 W;11;24
5728;JAMON SERRANO V S/PATA 14-16 W;12;12
5728;JAMON SERRANO V S/PATA 16 -18 W;14;12
